racer_id,year,period,name,name_kana,branch,birthplace,birthdate,gender,age,height,weight,blood_type,training_term,grade,prev_grade,prev2_grade,prev3_grade,current_ability_index,prev_ability_index,calc_period_from,calc_period_to
2538,2026,1,高　橋　　二　朗,ﾀｶﾊｼ ｼﾞﾛｳ,東京,千　葉,1949-04-26,1,76,163,54,AB,32,B1,B1,B1,B1,43.0,43.0,2025-05-01,2025-10-31
2878,2026,1,富　山　　弘　幸,ﾄﾐﾔﾏ ﾋﾛﾕｷ,大阪,大　阪,1958-06-21,1,67,162,55,B,43,B1,B1,A2,A2,50.0,51.0,2025-05-01,2025-10-31
3024,2026,1,西　島　　義　則,ﾆｼｼﾞﾏ ﾖｼﾉﾘ,広島,島　根,1961-10-30,1,64,166,58,AB,49,A1,A1,A1,A1,55.0,53.0,2025-05-01,2025-10-31
3054,2026,1,北　川　　幸　典,ｷﾀｶﾞﾜ ﾕｷﾉﾘ,広島,広　島,1963-01-12,1,62,163,57,A,50,B1,B1,B1,A2,46.0,48.0,2025-05-01,2025-10-31
3070,2026,1,山　室　　展　弘,ﾔﾏﾑﾛ ﾉﾌﾞﾋﾛ,岡山,岡　山,1961-06-08,1,64,168,51,A,51,B1,B2,B1,A1,49.0,50.0,2025-05-01,2025-10-31
3072,2026,1,西　田　　　　靖,ﾆｼﾀﾞ ﾔｽｼ,東京,神奈川,1961-10-28,1,64,160,56,B,51,B1,B1,B1,A2,47.0,46.0,2025-05-01,2025-10-31
3075,2026,1,中　村　　裕　将,ﾅｶﾑﾗ ﾋﾛﾉﾌﾞ,埼玉,埼　玉,1962-08-24,1,63,164,54,B,51,B1,B1,B1,B1,48.0,49.0,2025-05-01,2025-10-31
3081,2026,1,岡　本　　慎　治,ｵｶﾓﾄ ｼﾝｼﾞ,山口,山　口,1963-07-13,1,62,160,51,O,51,B1,A2,B1,B1,49.0,51.0,2025-05-01,2025-10-31
3105,2026,1,内　山　　文　典,ｳﾁﾔﾏ ﾌﾐﾉﾘ,東京,東　京,1963-07-15,1,62,164,57,A,52,B1,B1,B1,B1,48.0,48.0,2025-05-01,2025-10-31
3107,2026,1,平　岡　　重　典,ﾋﾗｵｶ ｼｹﾞﾉﾘ,大阪,大　阪,1963-11-16,1,62,163,51,A,52,B1,B1,B1,B1,46.0,48.0,2025-05-01,2025-10-31
3156,2026,1,金　子　　良　昭,ｶﾈｺ ﾖｼｱｷ,静岡,静　岡,1964-10-29,1,61,160,55,O,54,B1,B1,B1,B1,45.0,48.0,2025-05-01,2025-10-31
3158,2026,1,島　川　　光　男,ｼﾏｶﾜ ﾐﾂｵ,広島,広　島,1965-01-28,1,60,161,54,O,54,A2,A2,A1,A1,51.0,50.0,2025-05-01,2025-10-31
3159,2026,1,江　口　　晃　生,ｴｸﾞﾁ ｱｷｵ,群馬,群　馬,1965-02-11,1,60,165,55,AB,54,A1,A1,A1,A1,57.0,57.0,2025-05-01,2025-10-31
3161,2026,1,古　場　　輝　義,ｺﾊﾞ ﾃﾙﾖｼ,大阪,長　崎,1960-03-01,1,65,161,53,AB,55,B1,A2,A2,A2,49.0,51.0,2025-05-01,2025-10-31
